,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,MeanRoomsSquare,AreaRatio,MonthSale,AgeBuilding,WeekdaySale,StreetType,Weekend
30,Abbotsford,4,house,1542000.0,S,Collins,2016-09-24,2.5,3067,4.0,3.0,1.0,0.0,126.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0,11.454545454545455,1.0,9,46.0,5,St,1
31,Abbotsford,3,house,1290000.0,S,Biggin,2017-02-25,2.5,3067,3.0,2.0,2.0,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0,2.25,-0.7818181818181819,2,47.0,5,St,1
32,Abbotsford,3,house,1290000.0,S,Biggin,2017-02-25,2.5,3067,3.0,1.0,1.0,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0,17.714285714285715,-0.1506849315068493,2,67.0,5,St,1
33,Abbotsford,1,unit,470000.0,S,Nelson,2016-07-26,2.5,3067,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,16.666666666666668,1.0,7,3.0,1,St,0
34,Abbotsford,2,house,1180000.0,S,Jellis,2016-11-27,2.5,3067,2.0,1.0,0.0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0,18.2,-0.28063241106719367,11,116.0,6,St,1
35,Abbotsford,3,house,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3.0,2.0,1.0,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0,16.0,0.03225806451612903,11,18.0,6,St,1
36,Abbotsford,2,house,1012500.0,S,Nelson,2016-05-28,2.5,3067,2.0,1.0,0.0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0,16.4,-0.3787878787878788,5,116.0,5,St,1
37,Abbotsford,2,house,1030000.0,S,Biggin,2016-07-30,2.5,3067,2.0,1.0,1.0,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0,16.2,-0.35968379446640314,7,86.0,5,St,1
38,Airport West,3,townhouse,840000.0,PI,Nelson,2016-09-03,13.5,3042,3.0,2.0,1.0,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464.0,28.125,-0.14772727272727273,9,0.0,5,Rd,1
39,Airport West,3,house,730000.0,VB,Nelson,2016-12-03,13.5,3042,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,18.125,1.0,12,51.0,5,St,1
40,Airport West,3,house,770000.0,SP,Nelson,2017-03-04,13.5,3042,3.0,2.0,1.0,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464.0,18.125,1.0,3,52.0,5,St,1
41,Airport West,2,house,603000.0,S,Nelson,2017-03-04,13.5,3042,2.0,1.0,1.0,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464.0,16.8,-0.5280898876404494,3,67.0,5,St,1
42,Airport West,3,townhouse,700000.0,S,Brad,2017-03-04,13.5,3042,3.0,2.0,2.0,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464.0,16.75,-0.28150134048257375,3,8.0,5,St,1
43,Airport West,3,house,600000.0,S,other,2017-03-04,13.5,3042,2.0,1.0,1.0,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,19.333333333333332,-0.42857142857142855,3,37.0,5,Gr,1
44,Airport West,2,unit,500000.0,VB,Barry,2017-03-04,13.5,3042,2.0,1.0,1.0,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,17.2,-0.3228346456692913,3,6.0,5,St,1
45,Airport West,3,house,720000.0,S,Barry,2016-08-06,13.5,3042,2.0,1.0,1.0,620.0,126.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,21.0,-0.6621983914209115,8,46.0,5,Rd,1
46,Airport West,4,house,785000.0,S,other,2016-08-06,13.5,3042,3.0,1.0,2.0,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,15.875,-0.649171270718232,8,46.0,5,Rd,1
47,Airport West,6,house,725000.0,SP,Barry,2016-05-07,13.5,3042,6.0,3.0,2.0,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,12.4,-0.6798623063683304,5,36.0,5,Rd,1
48,Airport West,2,townhouse,450000.0,S,Barry,2016-05-07,13.5,3042,2.0,1.0,1.0,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,18.0,-0.1,5,1.0,5,Rd,1
49,Airport West,2,unit,515000.0,S,Barry,2016-11-07,13.5,3042,2.0,1.0,1.0,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,14.6,-0.3177570093457944,11,3.0,0,St,0
50,Airport West,2,unit,530000.0,S,Nelson,2016-09-10,13.5,3042,2.0,1.0,1.0,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,18.8,-0.12149532710280374,9,4.0,5,Rd,1
51,Airport West,3,house,895000.0,PI,Rendina,2016-09-10,13.5,3042,3.0,1.0,6.0,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,19.0,-0.7775919732441472,9,41.0,5,Ct,1
52,Airport West,3,house,805000.0,S,Nelson,2016-12-10,13.5,3042,3.0,1.0,1.0,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,15.0,1.0,12,66.0,5,St,1
53,Airport West,3,unit,752000.0,S,Nelson,2017-02-11,13.5,3042,3.0,1.0,1.0,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,18.571428571428573,-0.34177215189873417,2,24.0,5,St,1
54,Airport West,2,unit,440000.0,S,Barry,2016-08-13,13.5,3042,2.0,1.0,1.0,192.0,126.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,25.2,-0.20754716981132076,8,46.0,5,Rd,1
55,Airport West,5,house,755000.0,PI,other,2016-05-14,13.5,3042,3.0,2.0,2.0,596.0,126.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,12.6,-0.6509695290858726,5,46.0,5,Rd,1
56,Airport West,3,townhouse,700000.0,PI,Brad,2016-10-15,13.5,3042,3.0,2.0,2.0,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,16.625,-0.10738255033557047,10,7.0,5,St,1
57,Airport West,3,house,830000.0,S,Barry,2016-04-16,13.5,3042,3.0,1.0,2.0,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,16.142857142857142,-0.7915129151291513,4,56.0,5,Rd,1
58,Airport West,2,unit,462500.0,S,Barry,2016-07-16,13.5,3042,2.0,1.0,1.0,164.0,126.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,25.2,-0.1310344827586207,7,13.0,5,St,1
59,Airport West,3,house,670000.0,SP,Barry,2016-07-16,13.5,3042,3.0,2.0,2.0,657.0,126.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,15.75,-0.6781609195402298,7,46.0,5,Gr,1
60,Airport West,2,house,675000.0,S,Barry,2016-07-16,13.5,3042,2.0,1.0,1.0,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,20.0,-0.7191011235955056,7,41.0,5,Rd,1
61,Airport West,3,house,1042000.0,S,Nelson,2016-07-16,13.5,3042,3.0,2.0,5.0,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,21.75,-0.5572519083969466,7,66.0,5,Rd,1
62,Airport West,3,house,910000.0,S,McDonald,2016-09-17,13.5,3042,3.0,1.0,1.0,775.0,126.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,18.0,-0.7203107658157603,9,46.0,5,St,1
63,Airport West,4,house,773000.0,S,Brad,2016-09-17,13.5,3042,5.0,3.0,4.0,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,25.75,-0.2642857142857143,9,36.0,5,St,1
64,Airport West,3,house,810000.0,PI,Barry,2017-03-18,13.5,3042,3.0,3.0,2.0,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,21.333333333333332,-0.4859437751004016,3,37.0,5,Rd,1
65,Airport West,3,house,715000.0,S,Rendina,2017-03-18,13.5,3042,3.0,2.0,2.0,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,15.75,-0.5401459854014599,3,22.0,5,Rd,1
66,Airport West,3,house,790000.0,S,Nelson,2017-03-18,13.5,3042,3.0,1.0,3.0,614.0,126.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,18.0,-0.6594594594594595,3,47.0,5,Rd,1
67,Airport West,3,townhouse,540000.0,SP,Nelson,2016-06-18,13.5,3042,2.0,2.0,1.0,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,14.428571428571429,-0.22900763358778625,6,6.0,5,Rd,1
68,Airport West,3,townhouse,825000.0,SP,Barry,2016-11-19,13.5,3042,3.0,2.0,1.0,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,12.75,-0.4835443037974684,11,56.0,5,St,1
69,Airport West,3,house,685000.0,S,Barry,2016-05-22,13.5,3042,3.0,1.0,1.0,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,16.142857142857142,-0.6734104046242775,5,41.0,6,Rd,1
70,Airport West,3,house,805000.0,S,Barry,2016-08-22,13.5,3042,3.0,1.0,1.0,623.0,126.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,18.0,-0.6635514018691588,8,46.0,0,Rd,0
71,Airport West,2,unit,510000.0,S,Nelson,2016-08-22,13.5,3042,2.0,1.0,1.0,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,15.2,-0.2995391705069124,8,46.0,0,St,0
72,Airport West,3,house,612000.0,S,Nelson,2016-08-22,13.5,3042,3.0,2.0,1.0,212.0,126.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,15.75,-0.25443786982248523,8,46.0,0,Rd,0
73,Airport West,3,house,662000.0,S,Brad,2016-04-23,13.5,3042,3.0,1.0,2.0,612.0,126.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,18.0,-0.6585365853658537,4,46.0,5,Rd,1
74,Airport West,4,house,978000.0,S,Nelson,2016-09-24,13.5,3042,4.0,3.0,2.0,532.0,126.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,11.454545454545455,-0.6170212765957447,9,46.0,5,Dr,1
75,Airport West,3,house,720000.0,PI,Nelson,2017-02-25,13.5,3042,3.0,1.0,1.0,585.0,126.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,18.0,-0.6455696202531646,2,47.0,5,St,1
76,Airport West,4,house,765000.0,S,other,2016-11-27,13.5,3042,4.0,1.0,2.0,509.0,126.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,14.0,-0.6031496062992125,11,46.0,6,Rd,1
77,Airport West,4,house,900000.0,S,Harcourts,2016-11-27,13.5,3042,4.0,2.0,3.0,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,14.6,-0.6227390180878553,11,41.0,6,Rd,1
78,Albert Park,2,house,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2.0,1.0,0.0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,16.4,-0.18811881188118812,9,116.0,5,Rd,1
79,Albert Park,2,house,1455000.0,S,Thomson,2016-09-03,3.3,3206,2.0,1.0,0.0,159.0,126.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0,25.2,-0.11578947368421053,9,46.0,5,St,1
80,Albert Park,3,house,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3.0,2.0,0.0,211.0,198.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0,24.75,-0.03178484107579462,3,127.0,5,Pde,1
81,Albert Park,3,house,1850000.0,S,Greg,2017-03-04,3.3,3206,3.0,2.0,0.0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0,16.625,0.019157088122605363,3,127.0,5,St,1
82,Albert Park,2,house,1436000.0,S,RT,2017-03-04,3.3,3206,2.0,1.0,0.0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0,16.2,-0.23222748815165878,3,117.0,5,St,1
83,Albert Park,2,house,1110000.0,S,Marshall,2016-08-06,3.3,3206,1.0,1.0,0.0,147.0,126.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0,31.5,-0.07692307692307693,8,116.0,5,St,1
84,Albert Park,2,house,1550000.0,S,other,2016-05-07,3.3,3206,2.0,1.0,1.0,167.0,126.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0,25.2,-0.13993174061433447,5,46.0,5,St,1
85,Albert Park,4,house,2300000.0,S,Marshall,2016-05-07,3.3,3206,4.0,2.0,1.0,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0,18.0,0.08108108108108109,5,136.0,5,St,1
86,Albert Park,3,townhouse,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3.0,2.0,2.0,718.0,126.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0,15.75,-0.7014218009478673,11,46.0,0,St,0
87,Albert Park,3,house,1800000.0,VB,Greg,2016-11-07,3.3,3206,3.0,2.0,1.0,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,19.875,0.09278350515463918,11,20.0,0,St,0
88,Albert Park,2,house,2120000.0,S,Greg,2016-09-10,3.3,3206,2.0,1.0,1.0,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0,21.4,-0.3006535947712418,9,116.0,5,St,1
89,Albert Park,3,house,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3.0,1.0,1.0,253.0,126.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,18.0,-0.33509234828496043,9,46.0,5,St,1
90,Albert Park,3,house,1800000.0,S,Marshall,2016-09-10,3.3,3206,3.0,2.0,1.0,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,15.25,0.1509433962264151,9,116.0,5,Pl,1
91,Albert Park,2,house,1810000.0,PI,Greg,2016-12-10,3.3,3206,2.0,1.0,0.0,240.0,126.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0,25.2,-0.3114754098360656,12,46.0,5,St,1
92,Albert Park,3,house,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3.0,2.0,1.0,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,22.625,0.0111731843575419,12,136.0,5,Pl,1
93,Albert Park,5,house,2100000.0,S,Greg,2016-12-10,3.3,3206,5.0,2.0,1.0,237.0,126.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0,10.5,-0.30578512396694213,12,46.0,5,St,1
94,Albert Park,3,house,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3.0,1.0,0.0,129.0,126.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,18.0,-0.011764705882352941,12,46.0,5,St,1
95,Albert Park,3,house,1370000.0,S,Greg,2016-06-12,3.3,3206,3.0,2.0,2.0,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0,10.625,1.0,6,16.0,6,other,1
96,Albert Park,2,house,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2.0,1.0,0.0,288.0,126.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0,25.2,-0.391304347826087,11,46.0,5,St,1
97,Albert Park,3,house,2575000.0,S,Greg,2016-10-15,3.3,3206,3.0,2.0,1.0,228.0,126.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0,15.75,-0.288135593220339,10,46.0,5,St,1
98,Albert Park,2,house,1322500.0,S,Greg,2016-10-15,3.3,3206,2.0,1.0,0.0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0,19.6,-0.20647773279352227,10,126.0,5,St,1
99,Albert Park,2,house,1562500.0,S,Greg,2016-10-15,3.3,3206,2.0,1.0,0.0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0,16.6,-0.25892857142857145,10,126.0,5,St,1
100,Albert Park,3,house,2000000.0,VB,RT,2016-04-16,3.3,3206,3.0,2.0,1.0,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0,18.375,-0.1787709497206704,4,116.0,5,St,1
101,Albert Park,3,house,1900000.0,S,Greg,2017-03-18,3.3,3206,3.0,1.0,0.0,209.0,126.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0,18.0,-0.24776119402985075,3,117.0,5,Rd,1
102,Albert Park,3,house,3010000.0,S,Greg,2017-03-18,3.3,3206,3.0,2.0,0.0,147.0,146.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0,18.25,-0.0034129692832764505,3,127.0,5,St,1
103,Albert Park,4,house,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4.0,3.0,1.0,327.0,254.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0,23.09090909090909,-0.12564543889845095,6,106.0,5,St,1
104,Albert Park,2,unit,647000.0,S,Greg,2016-05-22,3.3,3206,2.0,1.0,1.0,0.0,126.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0,25.2,1.0,5,46.0,6,Rd,1
105,Albert Park,3,house,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2.0,1.0,1.0,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0,20.5,0.012345679012345678,4,116.0,5,St,1
106,Albert Park,3,house,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3.0,1.0,1.0,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0,18.714285714285715,-0.2899728997289973,9,126.0,5,St,1
107,Albert Park,1,unit,442500.0,S,Marshall,2017-02-25,3.3,3206,1.0,1.0,0.0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0,11.333333333333334,1.0,2,47.0,5,St,1
108,Albert Park,4,house,4735000.0,S,Marshall,2017-02-25,3.3,3206,4.0,2.0,1.0,330.0,207.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0,20.7,-0.22905027932960895,2,107.0,5,St,1
109,Albert Park,2,house,1340000.0,S,Greg,2017-02-25,3.3,3206,2.0,1.0,0.0,136.0,126.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0,25.2,-0.03816793893129771,2,47.0,5,St,1
110,Albert Park,3,house,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3.0,1.0,1.0,202.0,126.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0,18.0,-0.23170731707317074,2,47.0,5,St,1
111,Albert Park,3,house,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3.0,3.0,1.0,0.0,126.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,14.0,1.0,7,46.0,1,Pl,0
112,Albert Park,3,house,3755000.0,S,Greg,2016-07-26,3.3,3206,3.0,2.0,2.0,325.0,126.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280.0,15.75,-0.44124168514412415,7,46.0,1,St,0
113,Albert Park,4,house,2140000.0,S,Greg,2016-06-27,3.3,3206,3.0,2.0,1.0,183.0,145.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0,16.11111111111111,-0.11585365853658537,6,136.0,0,St,0
114,Albert Park,2,house,1750000.0,S,Marshall,2016-11-27,3.3,3206,2.0,1.0,1.0,162.0,126.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280.0,25.2,-0.125,11,46.0,6,St,1
115,Albert Park,2,house,980000.0,S,Greg,2016-05-28,3.3,3206,2.0,1.0,0.0,79.0,68.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0,13.6,-0.07482993197278912,5,126.0,5,St,1
116,Albert Park,3,house,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3.0,2.0,0.0,152.0,126.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0,15.75,-0.09352517985611511,8,46.0,6,St,1
